"RECORDING_SESSION_LABEL";"trial";"IA_ID";"item";"list";"IA_LABEL";"wordlength";"condition";"is_critical";"is_spill1";"is_spill2";"is_spill3";"filler";"LF";"HF";"function_word";"other_filler";"composite";"fixation_duration";"duration_firstpass";"duration_firstfixation";"fix_count";"avg_pupil";"IA_REGRESSION_IN_COUNT";"IA_REGRESSION_OUT_COUNT";"saccade_length";"saccade_duration";"go_past_time";"sentenceCondition"
"10m23r2";12;1;1;2;"Viel";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";236;236;236;1;"1408";0;0;"72.3767918603747";16;236;"control"
"10m23r2";12;2;1;2;"Geld";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";664;424;264;3;"1379.33333333333";2;0;"71.5196476501388";160;424;"control"
"10m23r2";12;3;1;2;"wurde";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;1;"0";0;0;"control"
"10m23r2";12;4;1;2;"investiert,";11;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";604;420;268;3;"1290";1;0;"65.4012232301507";12;420;"control"
"10m23r2";12;5;1;2;"bevor";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";484;296;296;2;"1242.5";1;0;"42.3118186798914";12;296;"control"
"10m23r2";12;6;1;2;"der";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";144;144;144;1;"1253";0;1;"0";0;332;"control"
"10m23r2";12;7;1;2;"Satellit";8;"control";1;0;0;0;0;0;0;0;0;"-0.952788045043187";192;192;192;1;"1319";0;0;"74.6067021118076";16;192;"control"
"10m23r2";12;8;1;2;"endlich";7;"none";0;1;0;0;0;0;0;0;0;"-0.952788045043187";236;236;236;1;"1318";0;0;"0";0;236;"control"
"10m23r2";12;9;1;2;"in";2;"none";0;0;1;0;0;0;0;0;0;"-0.952788045043187";364;180;180;2;"1246.5";1;0;"49.7";12;180;"control"
"10m23r2";12;10;1;2;"die";3;"none";0;0;0;1;0;0;0;0;0;"-0.952788045043187";392;216;216;2;"1168";1;0;"42.2042651873007";12;216;"control"
"10m23r2";12;11;1;2;"Umlaufbahn";10;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";484;36;36;3;"1123.33333333333";0;1;"76.3346579215497";16;420;"control"
"10m23r2";12;12;1;2;"gelangte.";9;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";592;592;164;2;"1165";0;1;"0";0;1440;"control"
"10m23r2";4;1;2;2;"Maria";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";1312;112;112;5;"1439.8";2;0;"124.200161030491";20;112;"control"
"10m23r2";4;2;2;2;"war";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";188;188;188;1;"1574";1;0;"63.2142389023232";124;724;"control"
"10m23r2";4;3;2;2;"sehr";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";288;288;288;1;"1277";0;0;"53.0737223115169";12;288;"control"
"10m23r2";4;4;2;2;"von";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";344;132;132;3;"1646";1;2;"0";0;1084;"control"
"10m23r2";4;5;2;2;"der";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";156;156;156;1;"1346";0;0;"53.2158810882616";12;156;"control"
"10m23r2";4;6;2;2;"Widerrede";9;"control";1;0;0;0;0;0;0;0;0;"-0.952788045043187";328;328;328;1;"1341";0;0;"75.8298753790352";16;328;"control"
"10m23r2";4;7;2;2;"ihres";5;"none";0;1;0;0;0;0;0;0;0;"-0.952788045043187";492;492;168;2;"1457";0;0;"68.2504212441213";16;492;"control"
"10m23r2";4;8;2;2;"sonst";5;"none";0;0;1;0;0;0;0;0;0;"-0.952788045043187";340;268;268;2;"1636";1;0;"39.1154700853767";12;268;"control"
"10m23r2";4;9;2;2;"so";2;"none";0;0;0;1;0;0;0;0;0;"-0.952788045043187";232;232;232;1;"1604";0;1;"0";0;304;"control"
"10m23r2";4;10;2;2;"braven";6;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;0;"0";0;0;"control"
"10m23r2";4;11;2;2;"Neffen";6;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";228;172;172;2;"1581.5";1;0;"87.8559047531809";20;172;"control"
"10m23r2";4;12;2;2;"überrascht.";11;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";364;216;216;2;"1528.5";0;2;"0";0;1356;"control"
"10m23r2";19;1;3;2;"Miriam";6;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";468;220;220;2;"1074";2;0;"80.4747165263724";16;220;"control"
"10m23r2";19;2;3;2;"geht";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";312;132;132;2;"1149.5";0;0;"69.387679021567";164;560;"control"
"10m23r2";19;3;3;2;"heute";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";532;196;196;3;"1317.33333333333";1;1;"65.4086385732038";16;1128;"control"
"10m23r2";19;4;3;2;"zu";2;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";240;240;240;1;"1440";0;0;"0";0;240;"control"
"10m23r2";19;5;3;2;"ihrer";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";160;160;160;1;"1453";0;0;"122.04462298684";20;160;"control"
"10m23r2";19;6;3;2;"Großmutter";10;"control";1;0;0;0;0;0;0;0;0;"-0.952788045043187";480;292;188;3;"1398.66666666667";1;0;"128.002656222439";20;292;"control"
"10m23r2";19;7;3;2;"und";3;"none";0;1;0;0;0;0;0;0;0;"-0.952788045043187";132;132;132;1;"1534";0;0;"0";0;320;"control"
"10m23r2";19;8;3;2;"hilft";5;"none";0;0;1;0;0;0;0;0;0;"-0.952788045043187";336;288;288;2;"1429.5";0;0;"47.7067081237011";12;288;"control"
"10m23r2";19;9;3;2;"ihr";3;"none";0;0;0;1;0;0;0;0;0;"-0.952788045043187";168;168;168;1;"1324";0;0;"40.8256047107694";12;168;"control"
"10m23r2";19;10;3;2;"beim";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";240;240;240;1;"1161";0;0;"44.7007829909052";20;240;"control"
"10m23r2";19;11;3;2;"Putzen.";7;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";400;400;400;1;"1192";0;1;"0";0;952;"control"
"10m23r2";15;1;4;2;"Auf";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;0;"0";0;0;"pseudo"
"10m23r2";15;2;4;2;"dem";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";172;136;136;2;"1400.5";2;0;"148.743974667884";152;136;"pseudo"
"10m23r2";15;3;4;2;"Wettbewerb";10;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";768;196;196;4;"1290.5";1;1;"79.1257859360651";16;580;"pseudo"
"10m23r2";15;4;4;2;"soll";4;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";544;544;544;1;"1409";1;0;"55.1032666908233";188;544;"pseudo"
"10m23r2";15;5;4;2;"das";3;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;0;"0";0;0;"pseudo"
"10m23r2";15;6;4;2;"beste";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";596;332;332;2;"1417";1;1;"52.3803398232581";12;332;"pseudo"
"10m23r2";15;7;4;2;"Gebilst";7;"pseudo";1;0;0;0;0;0;0;0;0;"-0.952788045043187";616;428;428;2;"1345.5";0;0;"66.3033181673437";16;428;"pseudo"
"10m23r2";15;8;4;2;"ausgewählt";10;"none";0;1;0;0;0;0;0;0;0;"-0.952788045043187";512;204;204;3;"1353.66666666667";0;1;"81.891696770796";16;964;"pseudo"
"10m23r2";15;9;4;2;"und";3;"none";0;0;1;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;0;"0";0;0;"pseudo"
"10m23r2";15;10;4;2;"mit";3;"none";0;0;0;1;0;0;0;0;0;"-0.952788045043187";440;264;264;2;"1250";1;0;"40.4598566482878";12;264;"pseudo"
"10m23r2";15;11;4;2;"einem";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";140;140;140;1;"1231";0;0;"114.632674225109";140;140;"pseudo"
"10m23r2";15;12;4;2;"Preis";5;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";328;160;160;2;"1118.5";1;0;"47.642837866777";12;160;"pseudo"
"10m23r2";15;13;4;2;"belohnt";7;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";912;124;124;2;"1181.5";0;2;"0";0;1616;"pseudo"
"10m23r2";15;14;4;2;"werden.";7;"none";0;0;0;0;0;0;0;0;0;"-0.952788045043187";0;0;0;0;"0";0;0;"0";0;0;"pseudo"
